hsa-let-7a,MIMAT0000062
hsa-miR-132-3p,MIMAT0004594
hsa-miR-1321,MIMAT0005952
hsa-miR-1322,MIMAT0005953
hsa-miR-1323,MIMAT0005795
hsa-miR-1324,MIMAT0005956
hsa-miR-133a,MIMAT0000427
hsa-miR-133b,MIMAT0000770
hsa-miR-134,MIMAT0000447
hsa-miR-135a,MIMAT0000428
hsa-miR-135a-3p,MIMAT0004595
hsa-miR-135b,MIMAT0000758
hsa-miR-135b-3p,MIMAT0004698
hsa-miR-136,MIMAT0000448
hsa-miR-136-3p,MIMAT0004606
hsa-miR-137,MIMAT0000429
hsa-miR-138,MIMAT0000430
hsa-miR-138-1-3p,MIMAT0004607
hsa-miR-138-2-3p,MIMAT0004596
hsa-miR-139-3p,MIMAT0004552
hsa-miR-139-5p,MIMAT0000250
hsa-miR-140-3p,MIMAT0004597
hsa-miR-140-5p,MIMAT0000431
hsa-miR-141,MIMAT0000432
hsa-miR-141-3p,MIMAT0004598
hsa-miR-142-3p,MIMAT0000434
hsa-miR-142-5p,MIMAT0000433
hsa-miR-143,MIMAT0000435
hsa-miR-143-3p,MIMAT0004599
hsa-miR-144,MIMAT0000436
hsa-miR-144-3p,MIMAT0004600
hsa-miR-145,MIMAT0000437
hsa-miR-145-3p,MIMAT0004601
hsa-miR-1468,MIMAT0006789
hsa-miR-1469,MIMAT0007347
hsa-miR-146a,MIMAT0000449
hsa-miR-146a-3p,MIMAT0004608
hsa-miR-146b-3p,MIMAT0004766
hsa-miR-146b-5p,MIMAT0002809
hsa-miR-147,MIMAT0000251
hsa-miR-1470,MIMAT0007348
hsa-miR-1471,MIMAT0007349
hsa-miR-147b,MIMAT0004928
hsa-miR-148a,MIMAT0000243
hsa-miR-148a-3p,MIMAT0004549
hsa-miR-148b,MIMAT0000759
hsa-miR-148b-3p,MIMAT0004699
hsa-miR-149,MIMAT0000450
hsa-miR-149-3p,MIMAT0004609
hsa-miR-150,MIMAT0000451
hsa-miR-150-3p,MIMAT0004610
hsa-miR-151-3p,MIMAT0000757
hsa-miR-151-5p,MIMAT0004697
hsa-miR-152,MIMAT0000438
hsa-miR-153,MIMAT0000439
hsa-miR-1537,MIMAT0007399
hsa-miR-1538,MIMAT0007400
