pat1,pat2,pat3,pat4,pat5,pat6,pat7,pat8,pat9,pat10,pat11,pat12,pat13,pat14,pat15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80183,47.5504,28.9894,17.7751,16.2665,31.296,5.2146,220.887,34.338,7.9281,96.246,15.9033,38.835,24.8869,3.8614,6.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
80209,680.596,661.924,449.711,321.456,317.99,229.041,429.755,402.537,437.104,478.111,346.056,280.947,157.805,423.207,374.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
122046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
93081,73.487,91.7997,148.719,232.378,110.654,93.0606,240.779,105.734,193.975,360.031,150.763,118.932,139.706,81.0889,159.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
122258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283487,14.4092,63.213,23.7002,14.7173,112.33,52.146,101.533,18.3589,209.302,27.6262,15.2672,24.2718,49.7738,27.8019,38.6941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
144809,0,0,0,0,0,0,1.6577,0,0,0.4456,0,0,0.5656,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
144811,283.862,125.218,110.206,36.4059,262.104,52.9483,264.816,57.7966,60.2537,221.9,121.501,167.476,49.2081,266.049,21.4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
84935,21.6138,84.955,19.5527,11.6189,2.2354,15.6438,509.739,107.434,18.4989,254.428,32.4427,10.3155,15.8371,42.4751,32.7825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79866,117.147,49.4913,51.2694,115.608,39.5056,74.9539,119.237,36.5683,150.645,197.995,61.1196,35.4976,50.2489,59.4884,84.5734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
400165,0.4803,0,0,0,0,0.4011,0.4144,0,0,0,0,0,0,0.7723,1.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
400120,0.4803,0.4026,0,7.7459,0,0.4011,0.8288,0.68,32.7696,0,1.2723,8.4951,0,0,1.6123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
440145,667.147,1004.97,378.611,365.608,267.134,174.89,362.619,356.299,1098.31,688.426,295.165,237.257,324.095,226.277,551.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
728591,3.3622,0.5315,15.7251,3.0984,1.1177,12.0337,6.9954,9.5194,13.2135,19.6057,7.4491,3.034,17.5339,1.5446,43.5523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
196541,0,0,0,0,0,0,0.8288,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
54916,313.16,384.915,742.409,1178.93,210.13,236.663,322.835,359.019,475.687,283.837,386.768,226.335,251.697,333.623,767.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55051,243.996,312.844,486.447,365.608,257.074,160.449,117.281,352.219,294.397,217.89,259.542,274.272,292.421,342.118,406.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55172,282.901,160.649,331.21,184.353,148.097,218.612,140.489,454.894,250.529,315.918,254.453,170.51,417.421,264.89,241.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55195,0,0,0,0,0,0,0,0,0.5285,0,0,0,1.1312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55320,134.486,300.362,52.7329,199.071,216.278,352.587,235.392,303.602,144.82,433.107,225.827,188.107,207.014,200.792,174.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
26175,247.358,364.783,360.243,168.861,434.232,369.836,360.962,141.092,598.837,363.596,159.669,452.063,841.629,206.584,557.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
11161,4959.17,1155.15,9210.49,2922.54,1685.51,10497.4,466.639,3361.38,9138.48,1647.32,2030.53,685.68,20145.4,2118.35,1125.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55237,0,0.4026,0,1.5492,0,0,0,0,0,0,1.2723,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55668,73.487,238.357,287.365,139.427,58.1211,121.139,125.57,97.5743,190.803,147.042,94.1476,63.7136,85.9729,95.376,153.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55017,1195.97,617.635,2075.54,1595.66,581.211,759.326,1385,2625.33,2253.7,1777.88,1333.33,988.471,1832.58,1187.76,1933.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
112487,403.444,197.929,289.551,183.509,198.355,169.053,160.332,346.294,259.783,266.004,237.888,237.84,219.955,254.434,342.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
84837,113.833,88.9813,223.374,216.112,153.127,65.3831,154.165,98.2543,297.569,89.5622,78.8804,42.4757,272.624,61.782,217.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
51527,412.104,297.947,770.849,254.841,200.071,309.266,286.78,246.146,474.63,488.805,346.692,424.757,595.023,262.574,424.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
56967,34.5821,163.871,91.8382,408.985,129.655,20.8584,271.861,307.002,44.926,108.722,83.3333,320.995,224.548,38.6138,68.7895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
64430,754.083,1108.04,1022.07,2106.12,269.928,750.903,446.747,1684.94,891.12,762.838,780.534,513.956,394.231,1264.21,895.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79609,190.682,114.347,174.196,404.338,103.947,122.744,188.562,198.548,169.662,227.247,158.397,58.2524,156.109,111.208,220.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79686,691.643,96.2287,324.693,199.071,167.657,27.6775,271.446,420.216,20.6131,68.1742,330.153,80.7039,40.724,406.603,46.7553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
84520,276.177,105.489,346.023,262.587,285.576,333.735,282.636,122.733,369.45,602.428,186.387,206.917,813.348,251.376,754.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
90141,66.2824,55.9656,86.5057,115.414,33.5314,111.111,74.1815,63.9163,157.505,69.9566,86.514,40.6553,117.647,58.6929,140.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
145508,46.5898,58.784,39.1053,69.7134,21.7954,66.5864,46.0008,41.4776,95.666,77.9771,34.9873,45.5097,25.4525,28.9603,99.9597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
171546,1834.29,1236.88,11221.4,18432.2,2673.01,1275.17,961.459,3057.1,5321.35,5444.58,6212.47,1936.89,2194.57,2709.91,6015.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
122945,2.4015,3.221,8.8876,11.6189,3.912,2.8079,4.1442,5.4397,7.3996,4.4558,7.6336,5.4612,5.6561,11.198,11.2858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
112849,157.541,178.768,168.864,62.7421,150.891,59.7673,313.303,106.754,186.575,181.798,230.28,94.0534,97.8507,106.574,128.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
84334,1370.63,382.708,794.709,1728.12,483.277,487.365,705.193,524.858,771.813,889.83,700.49,463.228,1016.18,364.958,921.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
81892,1221.9,339.417,988.89,2096.82,516.384,465.303,627.02,465.433,904.863,1540.83,1393.77,865.291,1690.61,508.929,894.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
80017,1199.33,1031.94,2617.69,3049.57,1509.47,1640.59,1021.55,2262.91,2094.61,348,1897.58,2995.75,3009.05,1513.27,3083.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
56936,0,0,6.5176,7.7459,2.2354,0,0,0.68,2.1142,4.4558,0.6361,1.8204,3.3937,8.495,4.8368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
414767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
51637,3660.9,2041.34,4841.36,5816.42,1480.41,2531.49,2218.4,1585.67,3891.65,3164.53,3893.77,1543.69,3710.41,2155.42,4410.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
145497,0,0.4026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
55449,285.456,613.713,1157.87,775.686,165.997,460.987,188.226,1255.22,480.708,244.398,472.195,400.061,377.958,373.322,329.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79697,410.663,179.573,332.988,319.132,121.272,129.964,250.311,191.409,241.543,324.83,289.44,131.675,212.67,196.93,91.8984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
161394,8.1652,12.4815,37.3278,13.9427,1.1177,5.2146,1.2433,22.7787,44.3975,25.3982,11.4504,12.7427,9.6154,38.9999,20.9593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
643382,83.0932,12.4815,223.374,278.854,18.4423,125.552,11.6038,64.9362,91.4376,22.2792,93.5115,24.2718,140.272,81.475,162.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283579,0.4803,0,2.37,0.7746,0,0.8022,1.6577,0,0,0,0,0,2.8281,0,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
112752,542.267,173.936,531.477,763.749,231.925,191.336,252.797,290.343,424.947,605.993,464.377,334.345,496.606,346.752,437.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
400258,4.8031,1.6105,1.7775,3.0984,74.3279,0,0,0,0,0.4456,9.542,0.6068,0.5656,1.5446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
400223,614.793,39.8604,72.2856,207.591,65.9451,21.6606,29.8384,46.2373,145.877,43.6671,45.8015,31.5534,187.783,38.9999,51.0547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283551,0.9606,9.6631,26.6627,27.1108,0.5589,4.4124,0.8288,4.7597,35.9408,11.5852,20.9924,1.2136,2.8281,4.2475,56.4289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
196913,1.4409,0,0,3.0984,0,0,0,0,0,0.4456,1.2723,0,0,0,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
650662,0,0,0,1.5492,0,0,0,0.34,0,1.3367,1.2723,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
280655,0.9606,0,4.74,1.5492,0,3.6101,2.901,1.6999,4.7569,2.2279,5.0891,1.8204,5.0905,4.2475,5.3742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
161424,79.731,280.231,280.847,111.541,79.9165,163.658,101.119,304.622,196.617,127.437,74.4275,104.369,209.276,132.445,188.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
387978,0,0,0,0,0,0,0,0,0,0,2.5445,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
122525,174.832,67.2393,178.344,216.886,74.8868,71.3999,67.5508,45.8973,108.879,54.8067,92.8753,75.2427,87.6697,104.643,92.9733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
9556,2950.53,791.571,2073.77,3958.17,1187.57,1269.55,1354.75,948.205,2122.62,1833.57,2956.11,2009.71,3010.75,1072.69,2543.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
100129075,29.7791,36.2367,62.8055,14.7173,70.9748,13.6382,25.6942,12.5793,57.0825,69.511,24.173,13.9563,49.7738,13.1287,130.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
645687,0.9606,0,1.185,3.0984,0,0,14.0903,0.68,32.7696,3.1191,1.9084,0,0,0.3861,1.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
145407,297.791,331.365,479.336,189.001,64.8274,432.812,87.443,320.261,204.017,2.2636,190.204,302.791,810.52,465.682,364.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
317761,0,3.221,0.5925,4.6476,0,0,0,0.34,0.5285,0,0,0,0,0.3861,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
91748,689.241,864.447,1481.85,808.675,635.42,353.791,632.408,493.991,484.144,700.902,336.514,291.869,300.339,425.91,545.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
80127,36.7819,38.8055,54.8363,67.5988,65.0453,14.5367,85.2217,31.7202,118.673,114.256,58.3015,78.0461,21.7986,76.1888,112.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
64207,1294.43,1678.57,2064.29,1340.05,651.627,1033.69,827.186,746.257,1616.81,1277.04,1961.2,1115.9,791.855,1946.13,1934.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
256369,0,2.0132,0,0,0,0,0,0,0.5285,1.7823,0,0.6068,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
161176,49.952,200.913,50.9554,7.7459,26.2663,8.4236,31.0816,97.2343,2.6427,32.5276,28.626,10.9223,6.7873,63.3266,15.0477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
145376,0.4803,0,25.4777,8.5205,40.7965,1.2034,1.2433,2.7198,11.0994,8.9117,11.4504,15.7767,5.6561,3.8614,4.2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
440184,0,0,0,0,0,0,0.4144,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
388011,13.9289,42.2762,0,252.517,0,0,7.0452,0,0.5285,5.7926,13.3588,3.6408,0,0.3861,12.3606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283600,0,0.8053,0,2.3238,0,2.0056,1.6577,0.34,3.1712,0.8912,0,0,6.7873,0.3861,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283601,0.9606,148.973,146.349,0,0,2.8079,0,0,1.5856,0,1.2723,0,2.2624,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
145200,0.4803,0,3.555,0,0,0,3.3154,0,0,12.0307,0,0,0,0,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
91828,0.4803,1.6105,0,3.0984,19.56,1.2034,4.1442,3.0598,6.3425,2.2279,6.3613,1.2136,2.2624,1.1584,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
122616,276.177,161.857,472.819,374.129,125.184,158.444,142.976,219.287,623.15,486.131,423.028,247.573,222.285,343.276,584.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283643,191.643,72.8761,141.016,660.728,24.0308,215.403,448.819,130.212,418.605,514.649,145.038,59.466,319.57,111.98,320.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
60686,108.549,165.078,101.318,188.226,170.451,208.183,122.669,183.249,150.106,173.332,125.318,124.393,183.823,110.435,198.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
57184,2803.55,2140.79,1902.53,1685.52,1147.89,1772.96,988.811,2100.74,1942.92,1128.66,1696.56,1030.34,2657.81,1516.36,2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283651,15.3698,20.1315,18.3676,21.6886,15.648,26.8753,21.5499,29.2383,35.9408,36.9834,18.4478,22.4515,39.5928,14.6732,38.1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
23742,0,0.4026,0,0.7746,1.6766,0,0.8288,0,1.0571,0,1.9084,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
90417,151.777,233.123,161.754,516.654,209.012,1003.21,249.482,247.506,844.08,798.485,418.575,222.694,470.588,335.168,211.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
56851,2501.44,1500.6,1935.12,2140.2,1986.18,2283.19,1908.83,2300.31,3319.77,3039.77,3895.04,1620.15,3617.08,2032.63,3866.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
161502,0.4803,8.0526,0,0,0.5589,0.8022,2.901,0,3.1712,0.8912,1.2723,0,0,1.9307,2.6871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
123591,1177.71,68.8498,138.646,151.82,2.2354,404.332,99.4613,899.928,412.262,20.9424,2185.75,147.452,90.4977,470.316,70.4017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
80035,4.3228,5.2342,1.185,2.3238,0,2.4067,0.4144,0.68,0.5285,1.7823,1.2723,3.6408,0.5656,0.7723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79768,185.399,289.089,177.751,217.661,208.453,207.782,210.941,209.428,389.535,470.981,269.084,153.519,191.742,124.336,215.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
145858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
196951,7.3151,34.3685,36.202,6.1967,19.7556,18.9089,17.4596,17.4206,42.6691,5.347,24.9046,18.8532,0.5656,19.0057,30.1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
80072,9.1258,6.4421,8.8876,17.0411,15.0891,8.0225,10.3605,7.1396,16.9133,5.347,6.3613,13.9563,7.3529,15.4455,18.8096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
283687,33.9433,40.2429,79.4371,24.6785,207.85,44.2399,106.009,68.8494,116.475,51.5495,68.785,57.415,114.474,114.949,55.7195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
348110,122.469,236.839,65.2822,122.82,90.7807,48.4196,107.082,82.86,108.303,228.009,78.9059,89.7633,110.113,48.5607,42.4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
56905,1024.98,1542.88,1388.83,1202.94,1088.65,1613.32,1590.97,1092.7,2187.63,876.908,3996.82,907.767,1597.29,1341.06,1591.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
123207,251.201,267.347,106.651,113.145,410.201,139.992,452.644,112.873,219.366,533.907,205.471,216.019,397.624,167.989,198.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
